Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Tejay Antone,Cincinnati Reds,0,5.0,3.6,0.3333,0.0,8.52,1.5,4.02
Mitch Farris,Los Angeles Angels,0,15.0,3.6,0.1667,0.0606,9.75,5.03,4.44
Jaden Hill,Colorado Rockies,0,15.0,3.6,0.2286,0.1286,8.85,3.63,4.09
Zack Kelly,Boston Red Sox,0,15.0,3.6,0.2097,0.1129,8.25,3.63,4.09
Gregory Santos,San Francisco Giants,0,5.0,3.6,0.0455,0.1364,8.82,4.49,4.27
Brandon Woodruff,Milwaukee Brewers,6,30.0,3.6,0.2066,0.0579,8.0,3.96,4.11
Yoshinobu Yamamoto,Los Angeles Dodgers,8,50.0,3.6,0.2462,0.0513,7.47,3.91,3.97
Reynaldo López,Atlanta Braves,5,27.3,3.62,0.2101,0.1176,8.54,5.29,4.72
Jacob Webb,Chicago Cubs,0,17.3,3.63,0.2468,0.1039,8.96,4.54,4.33
Keider Montero,Detroit Tigers,8,44.3,3.65,0.1771,0.0571,7.4,3.84,3.95
Sean Burke,Chicago White Sox,6,44.0,3.68,0.2011,0.0559,8.05,3.82,3.94
Zach Pop,Philadelphia Phillies,1,7.3,3.68,0.1935,0.0968,8.47,3.09,4.11
Kevin Ginkel,Arizona Diamondbacks,0,17.0,3.71,0.2817,0.0563,8.71,2.21,3.67
Pierce Johnson,Cincinnati Reds,0,17.0,3.71,0.2083,0.0833,8.71,3.92,4.16
John Schreiber,Kansas City Royals,0,17.0,3.71,0.0933,0.1333,8.71,6.51,4.89
Gavin Williams,Cleveland Guardians,9,55.3,3.74,0.2933,0.0978,7.13,3.83,3.87
Burch Smith,Detroit Tigers,1,12.0,3.75,0.3091,0.1091,8.99,2.84,3.97
Seth Lugo,Kansas City Royals,9,52.7,3.76,0.2081,0.086,9.48,2.68,2.87
Erick Fedde,Chicago White Sox,6,43.0,3.77,0.1469,0.0791,7.89,6.02,5.52
Cal Quantrill,Texas Rangers,0,14.3,3.77,0.2,0.1,8.65,3.58,4.09
Anthony Bender,Miami Marlins,0,16.7,3.78,0.2535,0.1127,8.01,2.73,3.83
Logan Gilbert,Seattle Mariners,9,50.0,3.78,0.2549,0.049,8.67,3.87,3.94
Steven Okert,Houston Astros,1,19.0,3.79,0.1818,0.0909,8.26,4.09,4.2
JT Brubaker,San Francisco Giants,0,18.7,3.86,0.1807,0.1325,9.06,3.95,4.16
Garrett Cleavinger,Tampa Bay Rays,0,7.0,3.86,0.303,0.1515,8.82,2.81,4.08
Kevin Gausman,Toronto Blue Jays,9,51.3,3.86,0.2297,0.0431,8.32,3.27,3.41
Brad Keller,Philadelphia Phillies,0,18.7,3.86,0.2949,0.0769,8.61,3.15,3.91
Steven Matz,Tampa Bay Rays,7,37.3,3.86,0.1879,0.0872,7.52,4.81,4.6
Edward Cabrera,Chicago Cubs,8,46.3,3.88,0.224,0.0781,8.9,4.24,4.24
Chase Dollander,Colorado Rockies,3,44.0,3.89,0.2487,0.0952,8.2,4.16,4.19
Sandy Alcantara,Miami Marlins,9,57.7,3.9,0.1612,0.0826,8.29,3.74,3.76
Bryan Woo,Seattle Mariners,9,53.0,3.91,0.2227,0.0474,7.48,3.47,3.56
Griffin Jax,Tampa Bay Rays,4,23.0,3.91,0.1818,0.1414,8.43,5.05,4.56
Patrick Corbin,Toronto Blue Jays,7,34.3,3.93,0.1497,0.068,9.46,4.17,4.21
Jameson Taillon,Chicago Cubs,8,45.7,3.94,0.2151,0.086,7.5,5.66,5.32
Yohan Ramírez,Pittsburgh Pirates,0,25.0,3.96,0.2455,0.1364,7.83,3.85,4.08
Jack Kochanowicz,Los Angeles Angels,8,45.3,3.97,0.15,0.115,7.85,4.06,4.11
Jose Quintana,Colorado Rockies,7,34.0,3.97,0.1096,0.1096,8.61,5.56,4.99
Mick Abel,Minnesota Twins,3,20.3,3.98,0.2473,0.1075,9.12,2.75,3.74
Cade Cavalli,Washington Nationals,9,40.3,4.02,0.2316,0.0947,9.78,3.17,3.52
Matt Strahm,Kansas City Royals,0,15.7,4.02,0.2388,0.0896,8.45,4.88,4.41
Tommy Nance,Toronto Blue Jays,0,20.0,4.05,0.2927,0.0976,8.27,2.54,3.68
Anthony Nunez,Baltimore Orioles,0,20.0,4.05,0.2588,0.0824,8.42,4.54,4.35
Luis Severino,Athletics,9,48.7,4.07,0.2227,0.1374,8.41,4.41,4.38
Tomoyuki Sugano,Colorado Rockies,8,42.0,4.07,0.1387,0.0694,8.34,5.59,5.19
Paul Blackburn,New York Yankees,1,17.7,4.08,0.1392,0.1139,8.91,4.28,4.26
Seranthony Domínguez,Chicago White Sox,0,17.7,4.08,0.2727,0.1299,8.01,5.7,4.68
Dean Kremer,Baltimore Orioles,2,11.0,4.09,0.3721,0.0465,8.39,5.46,4.47
Connor Seabold,Detroit Tigers,0,11.0,4.09,0.22,0.1,8.99,5.09,4.4
Kris Bubic,Kansas City Royals,9,50.3,4.11,0.2464,0.1256,6.82,3.71,3.8
Brennan Bernardino,Colorado Rockies,2,17.3,4.15,0.1831,0.0563,8.81,3.21,3.95
Enyel De Los Santos,Houston Astros,0,17.3,4.15,0.2254,0.0563,8.51,2.69,3.8
Nathan Eovaldi,Texas Rangers,8,47.7,4.15,0.235,0.05,8.71,4.67,4.58
Logan Henderson,Milwaukee Brewers,3,13.0,4.15,0.3265,0.0408,8.39,2.09,3.78
Luke Weaver,New York Mets,0,17.3,4.15,0.2329,0.0959,8.36,3.84,4.13
Brandon Young,Baltimore Orioles,5,26.0,4.15,0.1652,0.0957,8.74,4.9,4.53
Ryan Zeferjahn,Los Angeles Angels,0,21.7,4.15,0.3187,0.1209,7.42,2.36,3.57
Tanner Bibee,Cleveland Guardians,9,45.3,4.17,0.232,0.0928,8.6,4.37,4.34
Edgardo Henriquez,Los Angeles Dodgers,0,15.0,4.2,0.2063,0.1111,8.4,4.03,4.19
Kyle Bradish,Baltimore Orioles,9,47.0,4.21,0.2524,0.1214,8.96,3.92,3.99
Shawn Armstrong,Cleveland Guardians,0,10.7,4.22,0.2766,0.1489,8.44,5.34,4.44
Justin Sterner,Athletics,0,21.3,4.22,0.2473,0.0753,9.12,3.75,4.07
Jeffrey Springs,Athletics,9,49.0,4.22,0.2136,0.0728,8.36,4.2,4.21
Casey Legumina,Tampa Bay Rays,0,17.0,4.24,0.1538,0.0641,9.76,3.09,3.92
Cody Laweryson,Minnesota Twins,0,6.3,4.26,0.3077,0.0769,8.32,2.46,4.06
Eric Orze,Minnesota Twins,0,19.0,4.26,0.1928,0.1325,8.56,3.15,3.9
Blake Treinen,Los Angeles Dodgers,0,12.7,4.26,0.2105,0.0702,9.19,4.44,4.29
Jose Franco,Cincinnati Reds,0,14.7,4.3,0.1791,0.1642,8.9,5.48,4.55
Kyle Leahy,St. Louis Cardinals,8,39.7,4.31,0.1778,0.0944,9.88,4.96,4.72
Ron Marinaccio,San Diego Padres,0,25.0,4.32,0.2019,0.0769,9.03,3.41,3.9
Framber Valdez,Detroit Tigers,9,50.0,4.32,0.1883,0.0762,9.12,4.03,4.07
Kumar Rocker,Texas Rangers,8,37.3,4.34,0.1807,0.1024,9.17,4.33,4.3
Jake Bennett,Boston Red Sox,2,10.3,4.35,0.0952,0.0952,8.93,4.74,4.33
Grant Holmes,Atlanta Braves,8,41.3,4.35,0.1921,0.1186,7.69,5.17,4.89
Kenley Jansen,Detroit Tigers,0,10.3,4.35,0.3488,0.1163,8.48,5.42,4.45
Reid Detmers,Los Angeles Angels,9,49.3,4.38,0.2488,0.0798,8.31,3.28,3.45
Carmen Mlodzinski,Pittsburgh Pirates,7,45.0,4.4,0.2183,0.0812,9.55,2.96,3.28
Matthew Liberatore,St. Louis Cardinals,9,47.0,4.4,0.1675,0.0887,9.86,5.29,5.06
Taylor Rogers,Minnesota Twins,0,16.3,4.41,0.1781,0.0822,9.4,2.79,3.85
Jake Woodford,Milwaukee Brewers,0,16.3,4.41,0.1918,0.0411,9.55,2.73,3.84
Juan Mejia,Colorado Rockies,1,20.3,4.43,0.2889,0.1,9.12,3.29,3.92
Andre Pallante,St. Louis Cardinals,8,42.3,4.46,0.1774,0.1022,8.44,4.63,4.52
Andrew Abbott,Cincinnati Reds,9,46.3,4.47,0.1626,0.0985,9.5,4.37,4.34
Tyler Davis,Chicago White Sox,0,8.0,4.5,0.2069,0.1379,7.93,4.72,4.31
Dax Fulton,Miami Marlins,0,4.0,4.5,0.1875,0.125,8.66,3.09,4.17
MacKenzie Gore,Texas Rangers,9,48.0,4.5,0.2598,0.1078,7.46,3.95,4.01
Nick Pivetta,San Diego Padres,4,16.0,4.5,0.3636,0.0909,8.25,1.5,3.52
Lucas Sims,Chicago White Sox,0,10.0,4.5,0.2174,0.1522,8.68,4.79,4.34
Brent Suter,Los Angeles Angels,2,24.0,4.5,0.2323,0.1111,8.58,4.18,4.22
Gus Varland,Washington Nationals,0,16.0,4.5,0.2361,0.0694,9.3,2.72,3.84
Anthony Kay,Chicago White Sox,7,39.3,4.58,0.1585,0.1038,9.18,5.59,5.13
Peyton Pallette,Cleveland Guardians,0,17.7,4.58,0.2375,0.15,8.31,4.06,4.19
Bubba Chandler,Pittsburgh Pirates,8,39.0,4.62,0.1965,0.1561,7.58,5.5,5.07
Cole Sands,Minnesota Twins,0,11.7,4.63,0.22,0.08,8.89,4.47,4.29
Kyle Backhus,Philadelphia Phillies,1,9.7,4.66,0.2439,0.0244,9.03,4.02,4.21
Isaac Mattson,Pittsburgh Pirates,0,17.3,4.67,0.1688,0.1169,8.96,3.15,3.93
Andrew Morris,Minnesota Twins,1,17.3,4.67,0.1974,0.0658,9.26,2.98,3.88
Colin Rea,Chicago Cubs,6,42.3,4.68,0.1935,0.0699,9.64,4.23,4.23
José Fermin,Los Angeles Angels,0,7.7,4.7,0.2581,0.0968,8.13,4.66,4.3
Paul Sewald,Arizona Diamondbacks,0,15.3,4.7,0.3115,0.082,7.9,4.33,4.27
Jake Bird,New York Yankees,0,13.3,4.73,0.2414,0.069,8.94,3.09,3.99
Tyler Holton,Detroit Tigers,2,19.0,4.74,0.1765,0.0941,9.46,4.99,4.48
Sam Aldegheri,Los Angeles Angels,1,5.7,4.76,0.0769,0.1154,8.87,6.27,4.44
Cody Bolton,Houston Astros,3,17.0,4.76,0.2439,0.1707,8.86,4.92,4.44
Jack Perkins,Athletics,0,17.0,4.76,0.2821,0.0641,9.01,2.09,3.64
Chase Petty,Cincinnati Reds,1,5.7,4.76,0.0435,0.087,8.57,6.09,4.42
Cole Winn,Texas Rangers,0,17.0,4.76,0.2468,0.0909,9.01,4.39,4.29
Emmet Sheehan,Los Angeles Dodgers,7,35.7,4.79,0.2829,0.0658,9.27,3.79,3.98
Michael Petersen,Miami Marlins,0,15.0,4.8,0.254,0.0794,8.55,2.83,3.89
Cole Ragans,Kansas City Royals,8,35.3,4.84,0.298,0.1523,7.67,6.18,5.39
Aaron Bummer,Atlanta Braves,0,13.0,4.85,0.1774,0.0806,9.14,6.79,4.8
Grant Wolfram,Baltimore Orioles,0,13.0,4.85,0.3226,0.0161,9.74,1.5,3.65
Jack Leiter,Texas Rangers,8,42.7,4.85,0.262,0.0963,8.99,4.34,4.31
Dustin May,St. Louis Cardinals,8,42.7,4.85,0.1788,0.0615,10.04,3.8,3.93
Noah Schultz,Chicago White Sox,6,29.3,4.91,0.208,0.168,7.35,4.36,4.3
Eury Pérez,Miami Marlins,9,47.3,4.94,0.256,0.1159,8.01,4.83,4.7
Matt Festa,Cleveland Guardians,0,20.0,4.95,0.2299,0.0575,8.72,4.74,4.41
Mitchell Parker,Washington Nationals,0,20.0,4.95,0.2073,0.0732,8.27,4.39,4.3
Abner Uribe,Milwaukee Brewers,0,16.3,4.96,0.25,0.0882,8.35,3.71,4.1
Jimmy Herget,Colorado Rockies,3,16.0,5.06,0.2429,0.0571,9.15,3.53,4.06
Logan Webb,San Francisco Giants,8,48.0,5.06,0.2019,0.0721,9.56,3.55,3.69
Jesús Luzardo,Philadelphia Phillies,9,49.7,5.07,0.2864,0.061,9.47,2.91,3.14
Cade Povich,Baltimore Orioles,3,19.3,5.12,0.1463,0.0854,8.81,5.78,4.74
José Alvarado,Philadelphia Phillies,0,14.0,5.14,0.2714,0.1,9.6,2.52,3.85
Ryan Borucki,San Francisco Giants,0,14.0,5.14,0.1613,0.0968,9.3,4.81,4.38
Aaron Nola,Philadelphia Phillies,8,42.0,5.14,0.2404,0.082,9.69,4.24,4.24
