Name,Team,GS,IP,ERA,K%,BB%,ERA_est
Colton Gordon,Houston Astros,1,3.7,9.82,0.2632,0.0,4.45
Johan Oviedo,Boston Red Sox,0,3.7,9.82,0.1667,0.0556,4.49
Taylor Rashi,Arizona Diamondbacks,0,3.7,9.82,0.2667,0.0667,4.27
Kolby Allard,Cleveland Guardians,0,8.7,10.38,0.2,0.0667,4.38
Anthony Banda,Minnesota Twins,0,8.7,10.38,0.186,0.0465,4.3
José Alvarado,Philadelphia Phillies,0,6.0,10.5,0.2581,0.0968,4.03
Chris Murphy,Chicago White Sox,0,6.0,10.5,0.1875,0.1562,4.36
Ian Seymour,Tampa Bay Rays,0,7.7,10.57,0.2647,0.0588,3.91
Pete Fairbanks,Miami Marlins,1,5.0,10.8,0.2917,0.0417,4.19
Shane Smith,Chicago White Sox,3,8.3,10.8,0.2245,0.1837,4.4
Miles Mikolas,Washington Nationals,3,15.7,11.49,0.1358,0.1111,5.31
George Klassen,Los Angeles Angels,2,4.7,11.57,0.1875,0.3125,4.57
Josh Fleming,Toronto Blue Jays,0,3.0,12.0,0.0556,0.1111,4.44
Trevor Megill,Milwaukee Brewers,0,6.0,12.0,0.2188,0.125,4.11
Luis Morales,Athletics,2,7.3,12.27,0.119,0.1905,4.79
Chris Roycroft,St. Louis Cardinals,0,3.7,12.27,0.12,0.2,4.49
Justin Verlander,Detroit Tigers,1,3.7,12.27,0.0526,0.1053,4.42
Andre Granillo,Washington Nationals,0,4.3,12.46,0.0435,0.2174,4.55
Cristian Javier,Houston Astros,3,9.3,12.54,0.0833,0.1875,4.88
Bryan Abreu,Houston Astros,0,6.3,12.79,0.3243,0.3243,4.71
Bailey Falter,Kansas City Royals,0,3.3,13.5,0.2,0.1,4.32
Phil Maton,Chicago Cubs,0,4.0,13.5,0.2083,0.1667,4.48
Matt Svanson,St. Louis Cardinals,0,9.7,13.97,0.1698,0.1132,4.73
Steven Cruz,Kansas City Royals,0,5.0,14.4,0.2692,0.1538,4.6
Tyler Heineman,Toronto Blue Jays,0,3.0,15.0,0.0,0.0588,4.41
Roddery Muñoz,Houston Astros,0,4.0,15.75,0.24,0.24,4.52
Ryan Johnson,Los Angeles Angels,1,3.3,16.2,0.0952,0.1905,4.47
Jedixson Paez,Chicago White Sox,0,3.0,18.0,0.0,0.1875,4.44
Joe Ross,Arizona Diamondbacks,0,3.7,19.64,0.0909,0.1818,4.48
Brendon Little,Toronto Blue Jays,0,3.7,24.55,0.25,0.125,4.49
